COUNTRY,ARM,GA,ptb,Cumulative Count
ZAF,Placebo,27,0,0
ZAF,Placebo,28,0,0
ZAF,Placebo,29,0,0
ZAF,Placebo,30,1,1
ZAF,Placebo,31,1,2
ZAF,Placebo,32,0,0
ZAF,Placebo,33,1,3
ZAF,Placebo,34,6,9
ZAF,Placebo,35,2,11
ZAF,Placebo,36,8,19
ZAF,Placebo,37,31,50
ZAF,Placebo,38,89,139
ZAF,Placebo,39,123,262
ZAF,Placebo,40,129,391
ZAF,Placebo,41,67,458
ZAF,Placebo,42,11,469
ZAF,Placebo,43,1,470
ZAF,Placebo,44,0,470
ZAF,RSVpreF 120 ug,27,1,1
ZAF,RSVpreF 120 ug,28,0,1
ZAF,RSVpreF 120 ug,29,0,1
ZAF,RSVpreF 120 ug,30,0,1
ZAF,RSVpreF 120 ug,31,1,2
ZAF,RSVpreF 120 ug,32,1,3
ZAF,RSVpreF 120 ug,33,2,5
ZAF,RSVpreF 120 ug,34,5,10
ZAF,RSVpreF 120 ug,35,10,20
ZAF,RSVpreF 120 ug,36,19,39
ZAF,RSVpreF 120 ug,37,29,68
ZAF,RSVpreF 120 ug,38,83,151
ZAF,RSVpreF 120 ug,39,119,270
ZAF,RSVpreF 120 ug,40,135,405
ZAF,RSVpreF 120 ug,41,53,458
ZAF,RSVpreF 120 ug,42,9,467
ZAF,RSVpreF 120 ug,43,1,468
ZAF,RSVpreF 120 ug,44,0,468
