COUNTRY,ARM,GA,ptb,Cumulative Count
ZAF,Placebo,27,0,0
ZAF,Placebo,28,0,0
ZAF,Placebo,29,0,0
ZAF,Placebo,30,1,1
ZAF,Placebo,31,1,2
ZAF,Placebo,32,0,2
ZAF,Placebo,33,1,3
ZAF,Placebo,34,5,8
ZAF,Placebo,35,1,9
ZAF,Placebo,36,3,12
ZAF,Placebo,37,19,31
ZAF,Placebo,38,64,95
ZAF,Placebo,39,86,181
ZAF,Placebo,40,99,280
ZAF,Placebo,41,50,330
ZAF,Placebo,42,8,338
ZAF,Placebo,43,1,339
ZAF,Placebo,44,0,339
ZAF,RSVpreF 120 ug,27,0,0
ZAF,RSVpreF 120 ug,28,0,0
ZAF,RSVpreF 120 ug,29,0,0
ZAF,RSVpreF 120 ug,30,0,0
ZAF,RSVpreF 120 ug,31,0,0
ZAF,RSVpreF 120 ug,32,0,0
ZAF,RSVpreF 120 ug,33,2,2
ZAF,RSVpreF 120 ug,34,4,6
ZAF,RSVpreF 120 ug,35,6,12
ZAF,RSVpreF 120 ug,36,17,29
ZAF,RSVpreF 120 ug,37,23,52
ZAF,RSVpreF 120 ug,38,65,117
ZAF,RSVpreF 120 ug,39,92,209
ZAF,RSVpreF 120 ug,40,100,309
ZAF,RSVpreF 120 ug,41,39,348
ZAF,RSVpreF 120 ug,42,9,357
ZAF,RSVpreF 120 ug,43,0,357
ZAF,RSVpreF 120 ug,44,0,357
